From Location(Scorer),X Coordinate,Y Coordinate
Fairway,10831.80500000000000000000,9960.06400000000000000000
Fairway,10847.88200000000000000000,9964.42700000000000000000
Fairway,10817.41800000000000000000,9971.86400000000000000000
Fairway,10840.25900000000000000000,9971.42400000000000000000
Fairway,10847.78200000000000000000,9982.32700000000000000000
Fairway,10828.77700000000000000000,9960.39300000000000000000
Fairway,10826.40000000000000000000,9990.28000000000000000000
Fairway,10852.83900000000000000000,10000.09600000000000000000
Fairway,10845.30900000000000000000,9963.05500000000000000000
Fairway,10852.33400000000000000000,9977.50100000000000000000
Fairway,10852.42300000000000000000,9968.33000000000000000000
Fairway,10830.19300000000000000000,9955.01900000000000000000
Fairway,10848.14600000000000000000,9961.45700000000000000000
Fairway,10834.31400000000000000000,9961.38700000000000000000
Fairway,10865.94000000000000000000,9928.74500000000000000000
Fairway,10853.10000000000000000000,9942.47100000000000000000
Fairway,10873.28200000000000000000,9951.70500000000000000000
Fairway,10857.18900000000000000000,9932.48500000000000000000
Fairway,10871.10000000000000000000,9909.89000000000000000000
Fairway,10855.36900000000000000000,10015.75800000000000000000
Fairway,10870.95900000000000000000,9959.89400000000000000000
Fairway,10878.48700000000000000000,9931.76800000000000000000
Fairway,10833.62900000000000000000,9946.79500000000000000000
Fairway,10837.83800000000000000000,9971.82200000000000000000
Fairway,10841.83000000000000000000,9984.76700000000000000000
Fairway,10830.30500000000000000000,9961.09900000000000000000
Fairway,10842.10800000000000000000,9996.65500000000000000000
Fairway,10820.71100000000000000000,9953.73200000000000000000
Fairway,10819.36800000000000000000,9963.34500000000000000000
Fairway,10852.62200000000000000000,9954.46900000000000000000
Fairway,10860.88100000000000000000,9942.18400000000000000000
Fairway,10869.77300000000000000000,9950.97900000000000000000
Fairway,10848.57200000000000000000,9934.28300000000000000000
Fairway,10844.70500000000000000000,9958.64900000000000000000
Fairway,10872.83700000000000000000,9937.68000000000000000000
Fairway,10868.67500000000000000000,9946.81800000000000000000
Fairway,10834.59100000000000000000,9976.79000000000000000000
Fairway,10826.46300000000000000000,9955.12300000000000000000
Fairway,10833.23100000000000000000,9968.37000000000000000000
Fairway,10828.89400000000000000000,9967.21800000000000000000
Fairway,10831.45200000000000000000,10000.24300000000000000000
Fairway,10813.38900000000000000000,10043.50200000000000000000
Fairway,10875.65200000000000000000,9959.71200000000000000000
Fairway,10866.28200000000000000000,9960.26600000000000000000
Fairway,10831.50000000000000000000,9918.64000000000000000000
Fairway,10880.39200000000000000000,9940.56800000000000000000
Fairway,10886.91900000000000000000,9939.37200000000000000000
Fairway,10891.21100000000000000000,9935.82900000000000000000
Fairway,10851.77400000000000000000,9911.24600000000000000000
Fairway,10883.52300000000000000000,9986.77400000000000000000
Fairway,10843.08800000000000000000,9977.65600000000000000000
Fairway,10837.09600000000000000000,9988.77700000000000000000
Fairway,10827.76000000000000000000,9956.89600000000000000000
Fairway,10834.95800000000000000000,9984.73900000000000000000
Fairway,10832.30000000000000000000,9991.06000000000000000000
Fairway,10811.15400000000000000000,9953.33200000000000000000
Fairway,10787.16400000000000000000,9920.58100000000000000000
Fairway,10833.72100000000000000000,9981.85900000000000000000
Fairway,10856.81200000000000000000,9962.16000000000000000000
Fairway,10861.04000000000000000000,9936.30800000000000000000
Fairway,10849.61000000000000000000,9946.52900000000000000000
Fairway,10846.16200000000000000000,9934.44200000000000000000
Fairway,10850.02700000000000000000,9971.78500000000000000000
Fairway,10849.09300000000000000000,9953.89000000000000000000
Fairway,10846.20900000000000000000,9981.63500000000000000000
Fairway,10847.80900000000000000000,9988.53800000000000000000
Fairway,10834.83100000000000000000,9919.68000000000000000000
Fairway,10840.80900000000000000000,9960.82000000000000000000
Fairway,10836.83300000000000000000,9977.12200000000000000000
Fairway,10846.51500000000000000000,9953.78500000000000000000
Fairway,10865.28700000000000000000,9968.28400000000000000000
Fairway,10840.58200000000000000000,9994.21600000000000000000
Fairway,10842.48700000000000000000,9994.47400000000000000000
Fairway,10832.33600000000000000000,9965.76500000000000000000
Fairway,10841.97100000000000000000,9998.85700000000000000000
Fairway,10841.99900000000000000000,9981.43900000000000000000
Fairway,10859.95800000000000000000,9956.58700000000000000000
Fairway,10892.01100000000000000000,9952.91100000000000000000
Fairway,10862.22000000000000000000,9947.16400000000000000000
Fairway,10877.16300000000000000000,9953.37900000000000000000
Fairway,10869.83300000000000000000,9964.97200000000000000000
Fairway,10859.89500000000000000000,9942.02500000000000000000
Fairway,10881.62400000000000000000,9945.04200000000000000000
Fairway,10832.70800000000000000000,9987.80200000000000000000
Fairway,10826.53000000000000000000,9946.72500000000000000000
Fairway,10828.20200000000000000000,9979.95900000000000000000
Fairway,10813.94300000000000000000,9953.31700000000000000000
Fairway,10818.39600000000000000000,9962.13200000000000000000
Fairway,10860.76300000000000000000,9944.14700000000000000000
Fairway,10882.03700000000000000000,9960.46000000000000000000
Fairway,10837.62900000000000000000,9935.93400000000000000000
Fairway,10871.40300000000000000000,9937.57400000000000000000
Fairway,10864.50800000000000000000,9934.22900000000000000000
Fairway,10854.93500000000000000000,9935.47900000000000000000
Fairway,10861.11000000000000000000,9944.93100000000000000000
