Tournament Year,Permanent Tournament #,Event Name,Course Name,Round Number,Round Score
2017,464,Safeway Open,Silverado Resort and Spa North,3,71
2017,464,Safeway Open,Silverado Resort and Spa North,3,70
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,73
2017,464,Safeway Open,Silverado Resort and Spa North,3,72
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,69
2017,464,Safeway Open,Silverado Resort and Spa North,3,78
2017,464,Safeway Open,Silverado Resort and Spa North,4,67
2017,464,Safeway Open,Silverado Resort and Spa North,4,72
2017,464,Safeway Open,Silverado Resort and Spa North,4,70
2017,464,Safeway Open,Silverado Resort and Spa North,4,74
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,67
2017,464,Safeway Open,Silverado Resort and Spa North,4,74
2017,464,Safeway Open,Silverado Resort and Spa North,4,65
2017,464,Safeway Open,Silverado Resort and Spa North,4,75
2017,464,Safeway Open,Silverado Resort and Spa North,4,71
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,71
2017,464,Safeway Open,Silverado Resort and Spa North,4,75
2017,464,Safeway Open,Silverado Resort and Spa North,4,70
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,70
2017,464,Safeway Open,Silverado Resort and Spa North,4,71
2017,464,Safeway Open,Silverado Resort and Spa North,4,70
2017,464,Safeway Open,Silverado Resort and Spa North,4,67
2017,464,Safeway Open,Silverado Resort and Spa North,4,70
2017,464,Safeway Open,Silverado Resort and Spa North,4,71
2017,464,Safeway Open,Silverado Resort and Spa North,4,71
2017,464,Safeway Open,Silverado Resort and Spa North,4,70
2017,464,Safeway Open,Silverado Resort and Spa North,4,68
2017,464,Safeway Open,Silverado Resort and Spa North,4,75
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,65
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,68
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,66
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
2017,464,Safeway Open,Silverado Resort and Spa North,4,74
2017,464,Safeway Open,Silverado Resort and Spa North,4,69
